Metabolite,Smiles
dnad_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(=O)[O-])c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
dpcoa_c,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@@H](O)C(=O)NCCC(=O)NCCS
dtdp_c,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]c1=O
dtdp4aaddg_c,CC(=O)N[C@H]1[C@H](O)[C@@H](O)[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2O)O[C@@H]1C
dtdp4d6dg_c,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](C)C(=O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O
gmp_c,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
hemeO_c,C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)[O-])c4n1[Fe-2]31n3c(c(C)c([C@@H](O)CC/C=C(\\C)CC/C=C(\\C)CCC=C(C)C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C
hisp_c,[NH3+][C@H](COP(=O)([O-])[O-])Cc1c[nH]cn1
iasp_c,[NH2+]=C(CC(=O)[O-])C(=O)[O-]
ipdp_c,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-]
kdo_c,O=C([O-])C(=O)C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
malcoa_c,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]
moco_c,Nc1nc2c(c(=O)[nH]1)N[C@H]1C3=C(S[Mo](=O)(=O)S3)[C@@H](COP(=O)([O-])[O-])O[C@H]1N2
mththf_c,C[C@@]1(O)OC[C@H](O)C1(O)O
nac_c,O=C([O-])c1cccnc1
nadp_c,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
ncam_c,NC(=O)c1cccnc1
oxur_c,NC(=O)NC(=O)C(=O)[O-]
pap_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
pe181_c,CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCC=CCCCCCC
pg160_c,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCC
pg180_c,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCCCC
pgp160_c,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCCCCCC
phpyr_c,O=C([O-])C(=O)Cc1ccccc1
ppa_c,CCC(=O)[O-]
ppcoa_c,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
prbamp_c,Nc1c2ncn(C3OC(COP(=O)([O-])O)C(O)C3O)c2nc[n+]1C1OC(COP(=O)([O-])O)C(O)C1O
prbatp_c,Nc1c2ncn(C3OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(O)C3O)c2nc[n+]1C1OC(COP(=O)([O-])O)C(O)C1O
ps120_c,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCCC
pyam5p_c,Cc1ncc(COP(=O)([O-])[O-])c(C[NH3+])c1O
pydam_c,Cc1ncc(CO)c(C[NH3+])c1O
pydxn_c,Cc1ncc(CO)c(CO)c1O
rhcys_c,[NH3+]C(CCSC1OC(CO)C(O)C1O)C(=O)[O-]
ru5p__D_c,O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
ru5p__L_c,O=C(CO)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-]
skm_c,O=C([O-])C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
sl26da_c,[NH3+][C@@H](CCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-])C(=O)[O-]
sucglu_c,O=C([O-])CCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]
sucgsa_c,O=CCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]
thmmp_c,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])[O-])c2C)c(N)n1
thmnp_c,Nc1nc2c(c(=O)[nH]1)NC([C@H](O)[C@@H](O)CO)CN2
thmpp_c,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])[O-])c2C)c(N)n1
uacgam_c,CC(=O)N[C@@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
uacmam_c,CC(=O)N[C@@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
udpgalfur_c,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H]([C@H](O)CO)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
udpglcur_c,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
